data,confirmados,recuperados,mortes_residencia,mortes_ocorrencia,restricao
2020-03-31,1,0,0,,
2020-04-01,1,0,0,,
2020-04-02,1,0,0,,
2020-04-03,2,0,0,,
2020-04-04,5,0,0,,
2020-04-05,6,0,0,,
2020-04-06,6,0,0,,
2020-04-07,7,0,0,,
2020-04-08,15,0,0,,
2020-04-09,15,0,0,,
2020-04-10,15,7,0,,
2020-04-11,15,7,0,,
2020-04-12,19,11,0,,
2020-04-13,20,11,1,,
2020-04-14,20,11,1,,
2020-04-15,20,17,1,,
2020-04-16,20,17,1,,
2020-04-17,20,17,1,,
2020-04-18,23,17,1,,
2020-04-19,23,18,1,,
2020-04-20,23,18,1,,
2020-04-21,26,18,1,,
2020-04-22,26,18,1,,
2020-04-23,26,18,1,,
2020-04-24,28,18,1,,
2020-04-25,28,18,1,,
2020-04-26,28,20,2,,
2020-04-27,28,20,2,,
2020-04-28,28,20,3,,
2020-04-29,31,20,3,,
2020-04-30,31,24,3,,
2020-05-01,33,24,3,,
2020-05-02,34,26,3,,
2020-05-03,35,26,4,,
2020-05-04,35,26,4,,
2020-05-05,35,26,4,,
2020-05-06,35,26,4,,
2020-05-07,43,26,4,,
2020-05-08,43,27,4,,
2020-05-09,45,27,4,,
2020-05-10,45,27,4,,
2020-05-11,49,33,4,,
2020-05-12,50,37,4,,
2020-05-13,58,37,4,,
2020-05-14,58,37,4,,
2020-05-15,63,37,4,,
2020-05-16,74,40,4,,
2020-05-17,75,44,4,,
2020-05-18,83,47,4,,
2020-05-19,95,47,4,,
2020-05-20,97,51,4,,
2020-05-21,97,51,4,,
2020-05-22,106,57,4,,
2020-05-23,107,63,4,,
2020-05-24,109,66,4,,
2020-05-25,110,66,5,,
2020-05-26,117,72,5,,
2020-05-27,122,87,5,,
2020-05-28,128,97,5,,
2020-05-29,134,100,5,,
2020-05-30,145,100,5,,
2020-05-31,152,115,5,,
2020-06-01,159,124,5,,61
2020-06-02,178,137,5,,
2020-06-03,198,155,5,,
2020-06-04,217,178,5,,
2020-06-05,223,188,5,,
